Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
PP Plastic,Toothpaste Tube,Personal Care,9,0.19,1,53.05,1.75,4.63
Tempered Glass,Syringe Packaging,Pharmaceuticals,5,24.27,2,92.19,4.27,5.47
PP Plastic,Toilet Cleaner Bottle,Household,9,0.55,2,52.1,2.24,3.56
PET Plastic,Egg Carton,Food & Beverage,3,1.67,3,62.03,3.17,4.51
PET Plastic,Cream Jar,Cosmetics,7,4.89,1,56.36,2.45,5.41
Molded Pulp,Power Bank Box,Electronics,7,0.3,8,80.53,1.58,0.45
PET Plastic,Conditioner Bottle,Personal Care,3,0.73,3,51.26,3.44,4.9
Bioplastic (PLA),Floor Cleaner Bottle,Household,7,0.99,10,80.19,3.14,0.8
Kraft Paper,Laundry Detergent Box,Household,4,2.77,7,81.73,1.09,0.64
Recycled Plastic,Face Wash Tube,Personal Care,9,0.22,2,78.03,2.6,2.55
Bioplastic (PLA),Toilet Cleaner Bottle,Household,9,0.46,10,72.53,2.7,1.15
Bagasse Fiber,Wet Wipes Pack,Household,7,0.28,8,72.11,2.98,0.98
Aluminum,Beverage Can,Food & Beverage,9,0.33,1,93.88,2.24,1.64
PP Plastic,Laundry Detergent Box,Household,4,3.34,1,65.76,3.2,4.08
Molded Pulp,Seedling Tray,Agriculture,6,15.43,8,78.69,2.36,0.62
Kraft Paper,Razor Packaging,Personal Care,8,0.1,7,76.22,2.02,1.79
PP Plastic,Chemical Storage Bottle,Chemicals,10,4.68,3,59.81,1.55,4.85
Recycled Plastic,Charger Adapter Box,Electronics,10,0.15,1,73.89,2.19,2.71
Glass,Water Bottle,Food & Beverage,8,2.73,1,83.06,6.08,3.65
Aluminum,Cooking Oil Bottle,Food & Beverage,7,4.17,3,87.59,3.2,1.69
Recycled Plastic,Floor Cleaner Bottle,Household,10,0.63,3,73.71,1.78,2.22
HDPE Plastic,Hair Oil Bottle,Personal Care,10,0.23,3,78.36,3.22,2.7
Steel,Heavy Crate,Logistics,10,15.81,1,82.8,9.85,7.31
Recycled Plastic,Cosmetic Packaging Box,Cosmetics,7,25.13,1,74.97,1.86,2.84
PP Plastic,Yogurt Cup,Food & Beverage,7,0.29,1,68.91,1.57,4.28
Cardboard,Tissue Box,Household,4,0.32,9,84.1,2.93,0.79
PET Plastic,Toilet Cleaner Bottle,Household,9,0.41,3,65.04,1.98,2.89
PP Plastic,Wet Wipes Pack,Household,7,0.29,1,71.04,1.99,4.42
PP Plastic,Fertilizer Bag,Agriculture,7,9.45,2,65.26,3.23,2.86
Wood,Gift Box,Retail,10,13.37,6,68.52,5.08,2.3
Bioplastic (PLA),Toilet Cleaner Bottle,Household,4,0.8,9,79.59,2.12,1.08
PP Plastic,Toothpaste Tube,Personal Care,6,0.19,1,60.96,3.49,3.07
PET Plastic,Razor Packaging,Personal Care,4,0.09,2,77.17,1.82,2.59
Glass,Honey Jar,Food & Beverage,4,0.72,1,83.66,3.8,4.23
Cardboard,Juice Carton,Food & Beverage,6,6.69,10,86.08,1.17,1.08
Kraft Paper,Shopping Bag,Retail,5,8.52,7,72.06,2.75,0.77
Cardboard,Laptop Packaging Box,Electronics,7,23.23,10,75.17,1.65,0.85
Kraft Paper,Earphone Box,Electronics,5,0.2,10,85.21,2.01,1.07
PET Plastic,Medicine Bottle,Pharmaceuticals,10,1.87,1,52.78,2.62,2.58
Aluminum,Coffee Pouch,Food & Beverage,10,0.79,3,90.56,1.95,1.71
PP Plastic,Coffee Pouch,Food & Beverage,7,0.92,2,53.44,1.54,3.61
Corrugated Cardboard,Laundry Detergent Box,Household,10,3.99,9,84.08,1.06,1.59
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,9,0.19,10,61.56,3.44,0.58
Aluminum,Lipstick Tube,Cosmetics,8,3.2,3,94.51,2.58,2.17
PET Plastic,Toilet Cleaner Bottle,Household,3,0.78,3,78.47,1.89,4.38
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,8,19,2,85.26,2.15,3.13
Recycled Plastic,Lipstick Tube,Cosmetics,10,1.04,3,73.81,2.39,2.71
Cardboard,Juice Carton,Food & Beverage,4,9,8,78.31,2.82,0.86
Bioplastic (PLA),Sterile Wrap,Healthcare,10,0.74,8,62.09,3.72,1.48
Glass,Hair Oil Bottle,Personal Care,3,0.18,2,72.09,6.6,3.38
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,5,0.37,10,70.04,3.25,0.68
Jute,Produce Bag,Agriculture,6,9.93,9,67.3,4.33,1.31
HDPE Plastic,Syringe Packaging,Pharmaceuticals,8,29.34,2,67.04,2.73,3.75
Aluminum,Pharma Vial,Pharmaceuticals,9,4.01,2,93.02,2.53,2.46
Bioplastic (PLA),Shopping Bag,Retail,3,4.68,10,69.83,2.67,0.86
Bioplastic (PLA),Shampoo Bottle,Personal Care,6,0.62,9,60.08,2.93,0.66
Glass,Medicine Bottle,Pharmaceuticals,5,1.68,2,93.83,4.15,4.46
Recycled Plastic,Egg Carton,Food & Beverage,3,0.91,3,71.45,2.99,3.24
Bagasse Fiber,Milk Carton,Food & Beverage,6,0.82,9,68.43,3.36,1.15
Bioplastic (PLA),Hair Oil Bottle,Personal Care,7,0.48,10,75.33,2.8,0.31
Corrugated Cardboard,Cereal Box,Food & Beverage,5,0.61,9,88,1.17,1.76
Bioplastic (PLA),Snack Packaging,Food & Beverage,9,14.77,9,66.74,2.56,1.42
Wood,Smartwatch Box,Electronics,10,0.28,7,69.64,4.77,1.92
Corrugated Cardboard,Cereal Box,Food & Beverage,5,1.15,10,72.83,1.91,0.53
Cardboard,Juice Carton,Food & Beverage,10,16.86,10,88.71,1.93,1.17
Cardboard,Egg Carton,Food & Beverage,10,0.74,7,70.79,2.21,1.53
Cardboard,Butter Tub,Food & Beverage,7,0.67,7,78.99,1.37,0.64
Foam,Component Tray,Electronics,4,5.47,8,63.03,2.12,1.44
Cardboard,Milk Carton,Food & Beverage,10,1.09,9,84.31,1.78,1.65
PET Plastic,Blister Pack,Retail,3,29.16,2,50.99,3.5,4.79
Bioplastic (PLA),Snack Packaging,Food & Beverage,9,17.13,9,82.93,3.17,0.86
PET Plastic,Pill Blister Pack,Pharmaceuticals,3,24.37,3,66.36,2.14,3.47
Aluminum,Chemical Storage Bottle,Chemicals,7,3.95,1,89.31,3.45,1.91
Recycled Plastic,Cooking Oil Bottle,Food & Beverage,10,3.33,3,77.5,1.86,1.92
Recycled Plastic,Produce Bag,Agriculture,4,5.09,2,85.31,2.79,1.63
Glass,Spray Bottle,Cosmetics,7,0.8,2,87.46,5.5,3.57
PET Plastic,Perfume Bottle,Cosmetics,8,0.85,3,60.48,2.91,4.11
Molded Pulp,Phone Box,Electronics,5,28.71,10,73.72,2.01,0.47
Aluminum,Lipstick Tube,Cosmetics,10,3.43,3,90.55,3.1,2.11
PP Plastic,Chocolate Wrapper,Food & Beverage,9,0.08,2,56.66,3.45,3.76
Bagasse Fiber,Garbage Bag,Household,8,15.77,8,82.59,2.62,0.7
PP Plastic,Pet Food Bag,Pet Care,6,2.32,1,69.97,2.22,4.39
PP Plastic,Seedling Tray,Agriculture,6,1,3,67.23,2.72,4.96
Bagasse Fiber,Bread Bag,Food & Beverage,4,0.49,8,75.06,2.5,1.18
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,9,0.19,10,84.7,3.25,1.44
Glass,Pharma Vial,Pharmaceuticals,7,2.58,1,74.06,4.62,5.96
Cardboard,Power Bank Box,Electronics,9,0.7,9,75.36,1.51,0.54
Recycled Plastic,Blister Pack,Retail,3,9.55,2,70.8,1.1,2.94
Bioplastic (PLA),Paper Carry Bag,Retail,10,3.59,9,62.44,2.98,1.2
Bagasse Fiber,Food Container,Food & Beverage,3,22.28,9,68.69,2.18,0.87
Recycled Plastic,Produce Bag,Agriculture,6,1.16,1,74.16,2.41,3.26
Recycled Plastic,Butter Tub,Food & Beverage,8,0.76,2,89.85,2.08,3.01
Glass,Water Bottle,Food & Beverage,6,3.05,2,74.07,6.64,5.47
Cardboard,Shipping Box,Logistics,7,15.81,8,83.16,1.13,1.09
Bioplastic (PLA),Face Wash Tube,Personal Care,10,0.33,10,81.32,3.95,0.62
PP Plastic,Lipstick Tube,Cosmetics,4,4.61,1,55.83,2.3,4.46
Glass,Chemical Storage Bottle,Chemicals,6,1.34,2,86.01,4.43,4.13
Aluminum,Lipstick Tube,Cosmetics,10,1.95,2,94.59,2.24,2.34
PET Plastic,Egg Carton,Food & Beverage,3,1.18,3,68.8,2.87,2.87
HDPE Plastic,Conditioner Bottle,Personal Care,10,0.58,2,56.92,2.41,3.07
Aluminum,Beverage Can,Food & Beverage,7,1,2,90.37,2.06,1.56
Recycled Plastic,Garbage Bag,Household,6,23.98,1,76.43,1.3,2.29
PET Plastic,Cooking Oil Bottle,Food & Beverage,10,2.78,3,67.91,2.89,3.91
Bioplastic (PLA),Blister Pack,Retail,5,37.95,10,83.13,3.19,1.13
Aluminum,Pharma Vial,Pharmaceuticals,10,2.69,3,88.57,1.64,1.74
PET Plastic,Pharma Vial,Pharmaceuticals,3,1.27,2,78.15,2.05,4.41
PET Plastic,Toilet Cleaner Bottle,Household,9,0.84,1,77.18,2.33,3.8
Corrugated Cardboard,Smartwatch Box,Electronics,5,0.4,7,76.46,2.92,1.23
Aluminum,Lipstick Tube,Cosmetics,9,0.15,1,86.07,1.73,2.11
Recycled Plastic,Book Packaging Wrap,Retail,7,0.94,1,72.48,2.9,2.91
Kraft Paper,Laundry Detergent Box,Household,8,4.32,9,71.68,2.41,1.22
Tempered Glass,Pharma Vial,Pharmaceuticals,5,3.16,1,86.85,4.43,5.45
HDPE Plastic,Hair Oil Bottle,Personal Care,3,0.19,2,64.19,3.1,4.87
Glass,Medicine Bottle,Pharmaceuticals,3,0.22,2,71.94,5.65,5.7
Recycled Plastic,Milk Carton,Food & Beverage,9,0.98,3,80.34,1.39,3.02
Bioplastic (PLA),Bubble Wrap,Logistics,4,0.62,10,63.93,2.13,0.38
Molded Pulp,Charger Adapter Box,Electronics,6,0.39,10,78.99,2.36,0.62
Corrugated Cardboard,Charger Adapter Box,Electronics,8,0.5,9,83.59,1.36,1.47
PP Plastic,Yogurt Cup,Food & Beverage,6,0.31,2,57.64,1.98,3.72
Molded Pulp,Charger Adapter Box,Electronics,4,0.1,9,81.36,2.74,1.32
Bioplastic (PLA),Juice Carton,Food & Beverage,4,28.74,9,80.14,2.6,1.45
Recycled Plastic,Shampoo Bottle,Personal Care,10,0.26,3,73.05,2.15,2.71
Bagasse Fiber,Wet Wipes Pack,Household,6,0.69,10,81.01,3.22,1.48
Cardboard,Phone Box,Electronics,7,12.2,7,77.03,2.29,0.71
Molded Pulp,Instant Noodle Cup,Food & Beverage,6,0.34,8,72.2,3.07,1.21
Recycled Plastic,Cream Jar,Cosmetics,8,1.8,1,87.25,1.32,2.47
PP Plastic,Tea Pouch,Food & Beverage,9,0.39,2,56.24,1.86,3.65
Wood,Smartwatch Box,Electronics,10,0.24,5,66.7,7.31,2.56
Cardboard,Egg Carton,Food & Beverage,10,1.24,7,80.45,1.58,0.98
Corrugated Cardboard,Laptop Packaging Box,Electronics,7,14.76,9,87.84,2.15,1.9
Cardboard,Razor Packaging,Personal Care,9,0.09,9,77.28,1.15,1.35
Cardboard,Soap Bar Wrapper,Personal Care,9,0.18,9,80.18,1.12,1.08
Cardboard,Earphone Box,Electronics,7,0.16,9,71.51,2.16,1.91
PET Plastic,Cooking Oil Bottle,Food & Beverage,3,4.99,1,55.98,3.44,4.05
Cardboard,Juice Carton,Food & Beverage,3,4.43,7,88.24,1.12,1.54
Kraft Paper,Juice Carton,Food & Beverage,5,25.25,9,84.11,2.84,0.71
Wood,Smartwatch Box,Electronics,4,0.3,5,63.94,7.88,2.52
Cardboard,Book Packaging Wrap,Retail,3,1.21,9,70.57,2.97,0.87
PP Plastic,Bread Bag,Food & Beverage,7,0.71,1,70.72,3.26,4.11
Bagasse Fiber,Bread Bag,Food & Beverage,7,0.59,9,82.28,2.19,0.52
Bioplastic (PLA),Coffee Pouch,Food & Beverage,6,1.43,10,83.55,3.15,1.41
HDPE Plastic,Body Lotion Bottle,Personal Care,3,0.38,2,76.87,2.8,3.55
Bagasse Fiber,Garbage Bag,Household,6,16.08,8,80.56,2.01,0.74
Recycled Plastic,Shipping Box,Logistics,9,18.39,1,72.62,2.6,1.92
PET Plastic,Conditioner Bottle,Personal Care,10,0.66,1,76.44,2.06,3.08
HDPE Plastic,Pallet Wrap,Logistics,5,8.48,1,61.62,3.46,3.23
PP Plastic,Fertilizer Bag,Agriculture,5,6.08,1,64.85,3.32,4.52
Bioplastic (PLA),Coffee Pouch,Food & Beverage,8,1.45,8,71.57,2.34,0.32
PET Plastic,Shampoo Bottle,Personal Care,4,0.29,2,75.98,1.59,2.58
Recycled Plastic,Milk Carton,Food & Beverage,9,1.36,2,89.83,2.63,2.92
Kraft Paper,Soap Bar Wrapper,Personal Care,6,0.16,8,85.31,1.42,0.99
Recycled Plastic,Pet Food Bag,Pet Care,6,6,1,83.97,1.64,2.2
Bioplastic (PLA),Snack Packaging,Food & Beverage,9,15.6,9,60.25,3.76,0.99
Aluminum,Water Bottle,Food & Beverage,8,0.28,3,92.13,3.29,2.01
Molded Pulp,Laptop Packaging Box,Electronics,3,15.97,9,67.22,3.09,0.6
PP Plastic,Pharma Vial,Pharmaceuticals,8,4.17,3,59.62,3.5,3.51
Bioplastic (PLA),Bread Bag,Food & Beverage,10,0.87,8,60.24,2.44,1.1
Glass,Honey Jar,Food & Beverage,6,1.06,1,86.53,4.99,3.01
PP Plastic,Syringe Packaging,Pharmaceuticals,8,6.95,3,72.84,1.65,4.25
HDPE Plastic,Shampoo Bottle,Personal Care,6,0.43,1,57.62,1.99,4.59
PP Plastic,Wet Wipes Pack,Household,3,0.79,3,59.41,3.18,4.65
Bioplastic (PLA),Toothpaste Tube,Personal Care,4,0.28,8,74.42,3.12,0.75
Recycled Plastic,Cereal Box,Food & Beverage,5,0.74,1,74.15,2.72,1.88
PP Plastic,Ice Cream Tub,Food & Beverage,4,0.54,3,51.69,3.06,3.78
Kraft Paper,Wet Wipes Pack,Household,9,0.53,7,75.29,1.49,1.13
Steel,Industrial Drum,Chemicals,6,26.57,1,61.45,8.73,7.92
Recycled Plastic,Honey Jar,Food & Beverage,8,1.3,2,89.78,2.18,2.15
HDPE Plastic,Sterile Wrap,Healthcare,8,4.29,3,60.88,1.81,5.3
Kraft Paper,Medical Device Box,Healthcare,8,22.44,8,79.75,1.41,1.26
Bioplastic (PLA),Body Lotion Bottle,Personal Care,4,0.49,8,65.09,3.49,1.12
Bagasse Fiber,Milk Carton,Food & Beverage,4,1.58,9,67.64,3.13,1.29
Aluminum,Medicine Bottle,Pharmaceuticals,10,4.52,3,94.71,1.71,1.78
Recycled Plastic,Sterile Wrap,Healthcare,8,4.33,1,83.25,1.59,2.33
Recycled Plastic,Book Packaging Wrap,Retail,6,0.41,1,80.46,1.75,2.57
Bioplastic (PLA),Coffee Pouch,Food & Beverage,6,0.84,10,71.58,2.18,1.5
Aluminum,Deodorant Stick,Personal Care,10,0.09,2,94.42,1.64,1.9
Molded Pulp,Smartwatch Box,Electronics,8,0.15,8,68.32,3.32,0.86
Kraft Paper,Juice Carton,Food & Beverage,3,24.68,9,89.62,2.21,1.26
Bioplastic (PLA),Pet Food Bag,Pet Care,10,10.54,8,76.61,2.73,0.51
Recycled Plastic,Water Bottle,Food & Beverage,3,3.23,1,81.6,1.51,2.54
PP Plastic,Bread Bag,Food & Beverage,10,1.08,3,68.26,2.24,3.03
Bamboo,Cosmetic Packaging Box,Cosmetics,9,19.48,10,63.96,5.55,1.28
Cardboard,Yogurt Cup,Food & Beverage,10,0.57,8,75.43,2.84,0.85
Jute,Paper Carry Bag,Retail,6,4.92,8,73.67,2.86,0.79
Corrugated Cardboard,Tissue Box,Household,5,0.32,8,70.34,1.03,0.95
PP Plastic,Yogurt Cup,Food & Beverage,3,0.21,3,56.9,2.35,3.71
Aluminum,Coffee Pouch,Food & Beverage,10,1.41,1,90.81,1.73,1.96
Bioplastic (PLA),Food Container,Food & Beverage,3,14.07,10,61.3,2.28,0.56
Cardboard,Paper Carry Bag,Retail,5,9.99,10,76.42,2.5,1.68
Tempered Glass,Perfume Bottle,Cosmetics,5,2.06,2,84.96,5.48,3.1
PP Plastic,Blister Pack,Retail,6,23.24,2,72.55,1.63,4.52
Cardboard,Smartwatch Box,Electronics,6,0.23,10,79.18,2.17,0.78
Kraft Paper,Sterile Wrap,Healthcare,4,9.44,8,82.96,2.08,0.67
PP Plastic,Sugar Pouch,Food & Beverage,8,3.33,1,57.94,2.66,3.25
Cardboard,Cereal Box,Food & Beverage,3,0.73,8,84.75,1.32,0.91
HDPE Plastic,Shampoo Bottle,Personal Care,5,0.37,2,61.03,2.76,4.4
Bioplastic (PLA),Deodorant Stick,Personal Care,4,0.13,9,66.35,2.98,1.46
Bioplastic (PLA),Produce Bag,Agriculture,7,3.02,10,76.16,2.26,1.41
Cardboard,Deodorant Stick,Personal Care,6,0.13,8,72.15,2.69,1.6
Bioplastic (PLA),Pallet Wrap,Logistics,3,2.34,9,74.45,3.46,1.36
Cardboard,Deodorant Stick,Personal Care,10,0.18,8,85.68,2.53,1.58
Recycled Plastic,Beverage Can,Food & Beverage,8,1.75,2,74.78,2.57,1.61
Recycled Plastic,Toilet Cleaner Bottle,Household,8,0.73,2,73.52,2.63,3.32
Kraft Paper,Power Bank Box,Electronics,3,0.54,10,71.5,1.58,0.66
HDPE Plastic,Syringe Packaging,Pharmaceuticals,6,27.84,2,66.77,2.86,4.84
HDPE Plastic,Lipstick Tube,Cosmetics,8,3.57,1,68.46,2.35,2.88
Bagasse Fiber,Juice Carton,Food & Beverage,5,18.82,9,81.16,3.04,0.53
Recycled Plastic,Yogurt Cup,Food & Beverage,7,0.42,2,72.53,1.93,2.96
Molded Pulp,Component Tray,Electronics,7,4.32,9,83.63,2.61,1.42
Bioplastic (PLA),Milk Carton,Food & Beverage,4,1.6,10,70.69,3.4,0.82
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,4,0.21,8,82.81,2.65,0.42
HDPE Plastic,Toilet Cleaner Bottle,Household,3,0.63,3,65.16,1.84,3.6
Kraft Paper,Juice Carton,Food & Beverage,3,19.54,8,72.36,1.8,1.69
HDPE Plastic,Spray Bottle,Cosmetics,8,3.15,3,57.16,3.17,4.85
Recycled Plastic,Blister Pack,Retail,5,31.88,2,79.54,1.49,3.01
Bioplastic (PLA),Body Lotion Bottle,Personal Care,4,0.46,10,61.67,3.66,0.97
Recycled Plastic,Industrial Drum,Chemicals,5,25.14,3,86.06,1.37,3.12
Kraft Paper,Laundry Detergent Box,Household,10,4.47,10,77.33,1.17,1.46
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,6,0.19,10,68.72,3.85,0.55
Glass,Pharma Vial,Pharmaceuticals,5,0.6,1,80.64,4.93,3.46
Kraft Paper,Sugar Pouch,Food & Beverage,10,2.82,7,80.05,2.06,0.85
Kraft Paper,Phone Box,Electronics,4,28.61,8,70.16,1.11,0.79
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,6,1,10,69.16,3.54,0.94
Corrugated Cardboard,Pizza Box,Food & Beverage,8,26.35,7,72.11,2.28,0.82
Bioplastic (PLA),Milk Carton,Food & Beverage,6,1.92,9,78.31,3.19,0.71
Bioplastic (PLA),Wet Wipes Pack,Household,7,0.67,10,74.6,3.09,1.47
Bagasse Fiber,Pizza Box,Food & Beverage,3,1.38,10,65.9,2.4,1.42
Bagasse Fiber,Produce Bag,Agriculture,5,6.76,10,80.22,3.29,1.12
Molded Pulp,Ice Cream Tub,Food & Beverage,7,0.37,10,75.39,1.96,0.56
HDPE Plastic,Honey Jar,Food & Beverage,4,0.77,1,75.54,2.16,5.28
Recycled Plastic,Produce Bag,Agriculture,9,9.37,2,77.52,2.07,3.41
Recycled Plastic,Sterile Wrap,Healthcare,9,8.35,1,89.2,2.08,1.58
Glass,Yogurt Cup,Food & Beverage,10,0.47,1,83.18,4.43,3.01
Bioplastic (PLA),Sugar Pouch,Food & Beverage,8,3.67,10,77.44,2.44,0.68
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,6,0.26,9,79.18,2.52,0.3
HDPE Plastic,Fertilizer Bag,Agriculture,7,4.18,3,74.49,1.94,4.99
Molded Pulp,Smartwatch Box,Electronics,8,0.19,9,77.64,1.58,1.43
Recycled Plastic,Fertilizer Bag,Agriculture,8,0.93,2,81.49,2,1.54
Cardboard,Laundry Detergent Box,Household,6,2.62,8,82.79,1.09,1.07
Cardboard,Instant Noodle Cup,Food & Beverage,5,0.21,7,73.38,1.72,1.47
Kraft Paper,Pizza Box,Food & Beverage,8,0.88,7,75.72,2.63,1.79
Cardboard,Blister Pack,Retail,4,20.82,9,74.75,1.07,1.43
Kraft Paper,Tissue Box,Household,8,0.26,7,89.87,2.74,1.12
PP Plastic,Toilet Cleaner Bottle,Household,10,0.64,3,51.57,3.04,2.71
Recycled Plastic,Lipstick Tube,Cosmetics,3,3.27,3,81.59,2.6,3.07
Kraft Paper,Produce Bag,Agriculture,8,9.55,8,83.77,2.29,1.32
Corrugated Cardboard,Tissue Box,Household,7,0.29,9,87.86,1.71,1.03
Bagasse Fiber,Produce Bag,Agriculture,5,6.1,8,78.91,2.3,0.71
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,9,21.85,10,68.77,2.61,0.54
Glass,Chemical Storage Bottle,Chemicals,3,2.9,1,88.38,5.05,3.52
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,8,0.21,10,64.79,3.12,0.9
Bioplastic (PLA),Razor Packaging,Personal Care,9,0.14,9,80.73,3.46,0.55
Glass,Cream Jar,Cosmetics,9,3.6,1,82.75,3.98,4.01
Recycled Plastic,Paper Carry Bag,Retail,4,6.12,2,74.14,2.81,2.76
Recycled Plastic,Medical Device Box,Healthcare,6,25.17,2,72.13,1.47,2.72
Corrugated Cardboard,Charger Adapter Box,Electronics,7,0.28,8,89.47,2.54,0.88
Aluminum,Industrial Drum,Chemicals,10,44.34,3,90.68,2.87,2.1
PET Plastic,Pill Blister Pack,Pharmaceuticals,7,17.27,1,68.01,2.65,3.37
Bagasse Fiber,Sugar Pouch,Food & Beverage,5,2.18,9,71.34,2.79,1.07
Glass,Medicine Bottle,Pharmaceuticals,4,1.08,2,87.46,3.4,3.27
Wood,Smartwatch Box,Electronics,4,0.36,5,64.95,5.44,2.14
Glass,Sauce Bottle,Food & Beverage,3,0.38,1,94.22,5.62,3.67
PET Plastic,Body Lotion Bottle,Personal Care,7,0.42,2,74.65,1.56,4.39
Bioplastic (PLA),Bubble Wrap,Logistics,9,7.59,8,70.87,3.07,0.31
PP Plastic,Syringe Packaging,Pharmaceuticals,7,8.66,2,70.4,3.05,2.87
Aluminum,Industrial Drum,Chemicals,7,45.67,3,88.13,1.83,2.08
Glass,Perfume Bottle,Cosmetics,3,3.2,2,74.21,5.91,3.55
Bioplastic (PLA),Shopping Bag,Retail,9,3.33,8,67.7,3.64,0.37
Kraft Paper,Power Bank Box,Electronics,9,0.59,10,73.85,2.48,1.02
Glass,Spray Bottle,Cosmetics,5,4.6,2,80.94,3.09,4.45
Bagasse Fiber,Pet Food Bag,Pet Care,3,8.16,8,84.96,1.74,0.71
Recycled Plastic,Body Lotion Bottle,Personal Care,7,0.49,1,85.42,1.87,3.39
Recycled Plastic,Conditioner Bottle,Personal Care,10,0.48,1,77.81,2.6,2.24
Bagasse Fiber,Snack Packaging,Food & Beverage,3,16.92,8,65.18,2.02,0.85
Corrugated Cardboard,Power Bank Box,Electronics,8,0.26,10,85.32,1.77,0.62
Glass,Cooking Oil Bottle,Food & Beverage,10,3.55,1,84.14,6.19,4.31
Cardboard,Milk Carton,Food & Beverage,7,1.98,9,71.04,1.08,1.14
Aluminum,Medicine Bottle,Pharmaceuticals,9,1.07,3,91.84,2.41,2.32
Bagasse Fiber,Sugar Pouch,Food & Beverage,3,3.75,10,79.74,3.21,0.64
Recycled Plastic,Face Wash Tube,Personal Care,6,0.29,1,86.38,1.16,3.21
PP Plastic,Lipstick Tube,Cosmetics,8,4.94,3,50.27,3.22,3.63
Kraft Paper,Juice Carton,Food & Beverage,5,2.54,7,81.24,2.34,1.89
Aluminum,Spray Bottle,Cosmetics,9,1.94,1,94.49,3.05,1.79
Molded Pulp,Ice Cream Tub,Food & Beverage,8,0.78,9,81.19,1.59,1.41
Kraft Paper,Toothpaste Tube,Personal Care,7,0.12,10,76.38,1.94,1.25
Cardboard,Blister Pack,Retail,6,29.82,9,73.32,2.05,1.52
HDPE Plastic,Honey Jar,Food & Beverage,3,0.58,3,65.38,2.07,5.06
Glass,Water Bottle,Food & Beverage,4,2.8,1,70.66,4.51,5.43
Recycled Plastic,Medical Device Box,Healthcare,9,1.91,2,73.97,1.71,2.85
Kraft Paper,Laundry Detergent Box,Household,6,1.93,10,73.72,1.64,1.85
Kraft Paper,Juice Carton,Food & Beverage,8,5.89,8,82.83,1.05,1.68
Kraft Paper,Earphone Box,Electronics,4,0.2,10,87.04,1.61,1.6
Molded Pulp,Phone Box,Electronics,6,22.64,10,75.79,2.52,0.51
Recycled Plastic,Beverage Can,Food & Beverage,10,4.39,1,88.29,1.42,2.83
Recycled Plastic,Honey Jar,Food & Beverage,7,0.47,2,82.08,2.54,1.84
Molded Pulp,Power Bank Box,Electronics,5,0.63,9,74.44,2.99,0.91
Steel,Industrial Drum,Chemicals,8,62.28,1,71.44,8.91,6
Wood,Shipping Box,Logistics,7,13.28,7,57.49,6.26,2.59
Recycled Plastic,Pallet Wrap,Logistics,6,2.32,1,85.56,1.45,3.07
Recycled Plastic,Earphone Box,Electronics,9,0.13,1,87.2,1.88,1.5
PP Plastic,Fertilizer Bag,Agriculture,7,5.56,1,73.4,2.2,4.97
Kraft Paper,Tissue Box,Household,3,0.19,10,73.06,2.98,1.8
Wood,Gift Box,Retail,10,13.73,5,66.74,7.36,1.82
PP Plastic,Tea Pouch,Food & Beverage,4,0.24,2,58.45,3.44,2.75
PET Plastic,Face Wash Tube,Personal Care,3,0.24,1,60.48,3.34,5.3
Recycled Plastic,Pallet Wrap,Logistics,10,2.37,1,71.69,1.82,3.14
Wood,Gift Box,Retail,10,22.26,5,59.1,4.51,1.07
Bagasse Fiber,Tea Pouch,Food & Beverage,4,0.3,10,76.61,3.41,1.12
PP Plastic,Ice Cream Tub,Food & Beverage,8,0.77,3,54.23,2.84,3.44
Kraft Paper,Earphone Box,Electronics,3,0.22,7,78,2.83,1.91
Bamboo,Cosmetic Packaging Box,Cosmetics,6,2.76,8,56.2,3.24,1.14
PP Plastic,Pharma Vial,Pharmaceuticals,7,3.94,3,61.4,2.85,4.22
PP Plastic,Snack Packaging,Food & Beverage,5,15.54,1,62.77,2.45,4.59
Recycled Plastic,Cereal Box,Food & Beverage,5,0.78,3,71.69,2.38,2.72
PET Plastic,Pharma Vial,Pharmaceuticals,3,1.49,1,50.43,3.11,4.61
Recycled Plastic,Soap Bar Wrapper,Personal Care,4,0.18,2,70.22,1.83,1.81
Recycled Plastic,Pet Food Bag,Pet Care,6,14.81,3,77.43,2.18,2
Cardboard,Gift Box,Retail,4,18.55,10,83.28,2.58,0.66
PP Plastic,Garbage Bag,Household,3,22,1,60.47,2.24,3.18
Bioplastic (PLA),Bread Bag,Food & Beverage,7,0.59,8,71.24,3.79,1.25
Recycled Plastic,Power Bank Box,Electronics,9,0.62,1,83.25,2.44,2.45
Recycled Plastic,Beverage Can,Food & Beverage,6,0.88,1,86.31,2.78,2.54
